MMHT2014nlo68cl	1.00 GeV^2
x  xs-  delta_xs-
9.727472E-04  -3.307930E-03  2.692507E-03
9.817479E-04  -3.313218E-03  2.696072E-03
9.908319E-04  -3.318475E-03  2.699581E-03
1.000000E-03  -3.323700E-03  2.703030E-03
1.009253E-03  -3.328916E-03  2.706458E-03
1.018591E-03  -3.334149E-03  2.709906E-03
1.028016E-03  -3.339398E-03  2.713374E-03
1.037528E-03  -3.344662E-03  2.716858E-03
1.047129E-03  -3.349941E-03  2.720359E-03
1.056818E-03  -3.355232E-03  2.723875E-03
1.066596E-03  -3.360536E-03  2.727404E-03
1.076465E-03  -3.365851E-03  2.730946E-03
1.086426E-03  -3.371176E-03  2.734498E-03
1.096478E-03  -3.376511E-03  2.738061E-03
1.106624E-03  -3.381854E-03  2.741632E-03
1.116863E-03  -3.387204E-03  2.745210E-03
1.127197E-03  -3.392561E-03  2.748794E-03
1.137627E-03  -3.397924E-03  2.752383E-03
1.148154E-03  -3.403292E-03  2.755975E-03
1.158777E-03  -3.408663E-03  2.759569E-03
1.169499E-03  -3.414036E-03  2.763164E-03
1.180321E-03  -3.419412E-03  2.766759E-03
1.191242E-03  -3.424789E-03  2.770352E-03
1.202264E-03  -3.430165E-03  2.773942E-03
1.213389E-03  -3.435540E-03  2.777527E-03
1.224616E-03  -3.440914E-03  2.781108E-03
1.235947E-03  -3.446284E-03  2.784682E-03
1.247384E-03  -3.451651E-03  2.788247E-03
1.258925E-03  -3.457012E-03  2.791804E-03
1.270574E-03  -3.462368E-03  2.795350E-03
1.282331E-03  -3.467718E-03  2.798884E-03
1.294196E-03  -3.473059E-03  2.802406E-03
1.306171E-03  -3.478392E-03  2.805913E-03
1.318257E-03  -3.483715E-03  2.809405E-03
1.330454E-03  -3.489028E-03  2.812880E-03
1.342765E-03  -3.494330E-03  2.816338E-03
1.355189E-03  -3.499619E-03  2.819776E-03
1.367729E-03  -3.504894E-03  2.823194E-03
1.380384E-03  -3.510156E-03  2.826591E-03
1.393157E-03  -3.515402E-03  2.829965E-03
1.406048E-03  -3.520631E-03  2.833315E-03
1.419058E-03  -3.525844E-03  2.836640E-03
1.432188E-03  -3.531039E-03  2.839938E-03
1.445440E-03  -3.536214E-03  2.843209E-03
1.458814E-03  -3.541370E-03  2.846451E-03
1.472313E-03  -3.546505E-03  2.849663E-03
1.485936E-03  -3.551617E-03  2.852844E-03
1.499685E-03  -3.556707E-03  2.855992E-03
1.513561E-03  -3.561774E-03  2.859107E-03
1.527566E-03  -3.566815E-03  2.862187E-03
1.541700E-03  -3.571831E-03  2.865232E-03
1.555966E-03  -3.576820E-03  2.868239E-03
1.570363E-03  -3.581781E-03  2.871208E-03
1.584893E-03  -3.586714E-03  2.874138E-03
1.599558E-03  -3.591618E-03  2.877027E-03
1.614359E-03  -3.596491E-03  2.879874E-03
1.629296E-03  -3.601333E-03  2.882679E-03
1.644372E-03  -3.606143E-03  2.885439E-03
1.659587E-03  -3.610919E-03  2.888155E-03
1.674943E-03  -3.615661E-03  2.890824E-03
1.690441E-03  -3.620368E-03  2.893445E-03
1.706082E-03  -3.625039E-03  2.896018E-03
1.721869E-03  -3.629672E-03  2.898542E-03
1.737801E-03  -3.634268E-03  2.901015E-03
1.753881E-03  -3.638825E-03  2.903435E-03
1.770109E-03  -3.643342E-03  2.905803E-03
1.786488E-03  -3.647818E-03  2.908117E-03
1.803018E-03  -3.652252E-03  2.910375E-03
1.819701E-03  -3.656644E-03  2.912578E-03
1.836538E-03  -3.660992E-03  2.914723E-03
1.853532E-03  -3.665295E-03  2.916810E-03
1.870682E-03  -3.669553E-03  2.918837E-03
1.887991E-03  -3.673764E-03  2.920804E-03
1.905461E-03  -3.677928E-03  2.922709E-03
1.923092E-03  -3.682043E-03  2.924552E-03
1.940886E-03  -3.686109E-03  2.926331E-03
1.958845E-03  -3.690125E-03  2.928046E-03
1.976970E-03  -3.694089E-03  2.929695E-03
1.995262E-03  -3.698001E-03  2.931277E-03
2.013724E-03  -3.701874E-03  2.932809E-03
2.032357E-03  -3.705742E-03  2.934329E-03
2.051162E-03  -3.709604E-03  2.935840E-03
2.070141E-03  -3.713461E-03  2.937340E-03
2.089296E-03  -3.717311E-03  2.938828E-03
2.108628E-03  -3.721153E-03  2.940303E-03
2.128139E-03  -3.724985E-03  2.941763E-03
2.147830E-03  -3.728808E-03  2.943209E-03
2.167704E-03  -3.732620E-03  2.944638E-03
2.187762E-03  -3.736419E-03  2.946050E-03
2.208005E-03  -3.740205E-03  2.947443E-03
2.228435E-03  -3.743976E-03  2.948818E-03
2.249055E-03  -3.747732E-03  2.950171E-03
2.269865E-03  -3.751472E-03  2.951503E-03
2.290868E-03  -3.755193E-03  2.952813E-03
2.312065E-03  -3.758897E-03  2.954099E-03
2.333458E-03  -3.762580E-03  2.955361E-03
2.355049E-03  -3.766243E-03  2.956597E-03
2.376840E-03  -3.769884E-03  2.957807E-03
2.398833E-03  -3.773502E-03  2.958989E-03
