NNPDF30_nnlo_as_0118	 3.2
x	 x*uv	 dx*uv	 x*dv	 dx*dv	 x*(uv-dv)	 dx*(uv-dv)
2.585E-01	5.861E-01	9.138E-03	2.414E-01	1.212E-02	3.448E-01	1.232E-02
2.595E-01	5.852E-01	9.131E-03	2.406E-01	1.209E-02	3.446E-01	1.230E-02
2.605E-01	5.843E-01	9.124E-03	2.399E-01	1.207E-02	3.445E-01	1.229E-02
2.615E-01	5.834E-01	9.119E-03	2.391E-01	1.204E-02	3.443E-01	1.227E-02
2.625E-01	5.824E-01	9.114E-03	2.383E-01	1.201E-02	3.441E-01	1.226E-02
2.635E-01	5.815E-01	9.110E-03	2.376E-01	1.198E-02	3.439E-01	1.225E-02
2.645E-01	5.805E-01	9.107E-03	2.368E-01	1.195E-02	3.437E-01	1.225E-02
2.655E-01	5.795E-01	9.103E-03	2.361E-01	1.192E-02	3.435E-01	1.224E-02
2.665E-01	5.786E-01	9.100E-03	2.353E-01	1.189E-02	3.433E-01	1.224E-02
2.675E-01	5.776E-01	9.098E-03	2.345E-01	1.187E-02	3.430E-01	1.223E-02
2.685E-01	5.766E-01	9.096E-03	2.338E-01	1.184E-02	3.428E-01	1.224E-02
2.695E-01	5.756E-01	9.095E-03	2.330E-01	1.181E-02	3.426E-01	1.224E-02
2.705E-01	5.745E-01	9.094E-03	2.322E-01	1.178E-02	3.423E-01	1.224E-02
2.715E-01	5.735E-01	9.093E-03	2.314E-01	1.176E-02	3.421E-01	1.225E-02
2.725E-01	5.725E-01	9.092E-03	2.306E-01	1.173E-02	3.418E-01	1.226E-02
2.735E-01	5.714E-01	9.092E-03	2.299E-01	1.170E-02	3.416E-01	1.227E-02
2.745E-01	5.704E-01	9.091E-03	2.291E-01	1.167E-02	3.413E-01	1.228E-02
2.755E-01	5.693E-01	9.089E-03	2.283E-01	1.164E-02	3.410E-01	1.229E-02
2.765E-01	5.682E-01	9.087E-03	2.275E-01	1.162E-02	3.407E-01	1.230E-02
2.775E-01	5.672E-01	9.084E-03	2.267E-01	1.159E-02	3.405E-01	1.231E-02
2.785E-01	5.661E-01	9.080E-03	2.259E-01	1.156E-02	3.402E-01	1.231E-02
