NNPDF30_nlo_as_0118	1.00 GeV^2
x  xs-  delta_xs-
1.235947E-03  -4.035160E-03  5.518997E-03
1.247384E-03  -4.045430E-03  5.525894E-03
1.258925E-03  -4.055667E-03  5.532822E-03
1.270574E-03  -4.065869E-03  5.539771E-03
1.282331E-03  -4.076032E-03  5.546728E-03
1.294196E-03  -4.086153E-03  5.553681E-03
1.306171E-03  -4.096227E-03  5.560619E-03
1.318257E-03  -4.106251E-03  5.567529E-03
1.330454E-03  -4.116221E-03  5.574401E-03
1.342765E-03  -4.126134E-03  5.581225E-03
1.355189E-03  -4.135985E-03  5.587989E-03
1.367729E-03  -4.145772E-03  5.594684E-03
1.380384E-03  -4.155491E-03  5.601302E-03
1.393157E-03  -4.165130E-03  5.607835E-03
1.406048E-03  -4.174664E-03  5.614299E-03
1.419058E-03  -4.184097E-03  5.620738E-03
1.432188E-03  -4.193435E-03  5.627195E-03
1.445440E-03  -4.202685E-03  5.633717E-03
1.458814E-03  -4.211854E-03  5.640346E-03
1.472313E-03  -4.220947E-03  5.647125E-03
1.485936E-03  -4.229972E-03  5.654098E-03
1.499685E-03  -4.238935E-03  5.661304E-03
1.513561E-03  -4.247843E-03  5.668784E-03
1.527566E-03  -4.256701E-03  5.676574E-03
1.541700E-03  -4.265517E-03  5.684709E-03
1.555966E-03  -4.274297E-03  5.693225E-03
1.570363E-03  -4.283048E-03  5.702151E-03
1.584893E-03  -4.291776E-03  5.711517E-03
1.599558E-03  -4.300487E-03  5.721348E-03
1.614359E-03  -4.309189E-03  5.731670E-03
1.629296E-03  -4.317887E-03  5.742501E-03
1.644372E-03  -4.326589E-03  5.753862E-03
1.659587E-03  -4.335300E-03  5.765766E-03
1.674943E-03  -4.344028E-03  5.778226E-03
1.690441E-03  -4.352778E-03  5.791251E-03
1.706082E-03  -4.361558E-03  5.804848E-03
1.721869E-03  -4.370373E-03  5.819019E-03
1.737801E-03  -4.379231E-03  5.833766E-03
1.753881E-03  -4.388138E-03  5.849085E-03
1.770109E-03  -4.397100E-03  5.864973E-03
1.786488E-03  -4.406124E-03  5.881419E-03
1.803018E-03  -4.415217E-03  5.898415E-03
1.819701E-03  -4.424384E-03  5.915945E-03
1.836538E-03  -4.433633E-03  5.933996E-03
1.853532E-03  -4.442970E-03  5.952549E-03
1.870682E-03  -4.452402E-03  5.971584E-03
1.887991E-03  -4.461934E-03  5.991079E-03
1.905461E-03  -4.471575E-03  6.011011E-03
1.923092E-03  -4.481329E-03  6.031353E-03
1.940886E-03  -4.491204E-03  6.052080E-03
1.958845E-03  -4.501206E-03  6.073163E-03
1.976970E-03  -4.511342E-03  6.094574E-03
1.995262E-03  -4.521618E-03  6.116282E-03
2.013724E-03  -4.532042E-03  6.138263E-03
2.032357E-03  -4.542640E-03  6.160587E-03
2.051162E-03  -4.553417E-03  6.183296E-03
2.070141E-03  -4.564362E-03  6.206393E-03
2.089296E-03  -4.575466E-03  6.229883E-03
2.108628E-03  -4.586719E-03  6.253766E-03
2.128139E-03  -4.598114E-03  6.278045E-03
2.147830E-03  -4.609639E-03  6.302718E-03
2.167704E-03  -4.621286E-03  6.327784E-03
2.187762E-03  -4.633045E-03  6.353241E-03
2.208005E-03  -4.644908E-03  6.379085E-03
2.228435E-03  -4.656864E-03  6.405311E-03
2.249055E-03  -4.668905E-03  6.431911E-03
2.269865E-03  -4.681021E-03  6.458879E-03
2.290868E-03  -4.693203E-03  6.486206E-03
2.312065E-03  -4.705442E-03  6.513881E-03
2.333458E-03  -4.717728E-03  6.541893E-03
2.355049E-03  -4.730052E-03  6.570230E-03
2.376840E-03  -4.742405E-03  6.598878E-03
2.398833E-03  -4.754777E-03  6.627822E-03
2.421029E-03  -4.767159E-03  6.657047E-03
2.443431E-03  -4.779542E-03  6.686537E-03
2.466039E-03  -4.791916E-03  6.716273E-03
2.488857E-03  -4.804272E-03  6.746238E-03
2.511886E-03  -4.816602E-03  6.776413E-03
2.535129E-03  -4.828894E-03  6.806777E-03
2.558586E-03  -4.841141E-03  6.837312E-03
2.582260E-03  -4.853333E-03  6.867995E-03
2.606154E-03  -4.865460E-03  6.898807E-03
