x	s-sbar	delta
1.7219E-03	-1.5883E-01	5.8302E-02
1.7378E-03	-1.5810E-01	5.8035E-02
1.7539E-03	-1.5738E-01	5.7770E-02
1.7701E-03	-1.5666E-01	5.7505E-02
1.7865E-03	-1.5594E-01	5.7242E-02
1.8030E-03	-1.5523E-01	5.6980E-02
1.8197E-03	-1.5452E-01	5.6720E-02
1.8365E-03	-1.5381E-01	5.6460E-02
1.8535E-03	-1.5311E-01	5.6202E-02
1.8707E-03	-1.5241E-01	5.5945E-02
1.8880E-03	-1.5171E-01	5.5689E-02
1.9055E-03	-1.5102E-01	5.5434E-02
1.9231E-03	-1.5033E-01	5.5181E-02
1.9409E-03	-1.4964E-01	5.4928E-02
1.9588E-03	-1.4895E-01	5.4677E-02
1.9770E-03	-1.4827E-01	5.4427E-02
1.9953E-03	-1.4759E-01	5.4178E-02
2.0137E-03	-1.4692E-01	5.3930E-02
2.0324E-03	-1.4625E-01	5.3683E-02
2.0512E-03	-1.4558E-01	5.3437E-02
2.0701E-03	-1.4491E-01	5.3193E-02
2.0893E-03	-1.4425E-01	5.2949E-02
2.1086E-03	-1.4359E-01	5.2707E-02
2.1281E-03	-1.4293E-01	5.2466E-02
2.1478E-03	-1.4228E-01	5.2226E-02
2.1677E-03	-1.4163E-01	5.1987E-02
2.1878E-03	-1.4098E-01	5.1749E-02
2.2080E-03	-1.4033E-01	5.1512E-02
2.2284E-03	-1.3969E-01	5.1276E-02
2.2491E-03	-1.3905E-01	5.1041E-02
2.2699E-03	-1.3841E-01	5.0808E-02
2.2909E-03	-1.3778E-01	5.0575E-02
2.3121E-03	-1.3715E-01	5.0344E-02
2.3335E-03	-1.3652E-01	5.0113E-02
2.3550E-03	-1.3590E-01	4.9884E-02
2.3768E-03	-1.3527E-01	4.9655E-02
2.3988E-03	-1.3465E-01	4.9428E-02
2.4210E-03	-1.3404E-01	4.9202E-02
2.4434E-03	-1.3342E-01	4.8976E-02
2.4660E-03	-1.3281E-01	4.8752E-02
2.4889E-03	-1.3221E-01	4.8529E-02
2.5119E-03	-1.3160E-01	4.8306E-02
2.5351E-03	-1.3100E-01	4.8085E-02
2.5586E-03	-1.3040E-01	4.7865E-02
2.5823E-03	-1.2980E-01	4.7646E-02
2.6062E-03	-1.2920E-01	4.7427E-02
2.6303E-03	-1.2861E-01	4.7210E-02
2.6546E-03	-1.2802E-01	4.6994E-02
2.6792E-03	-1.2744E-01	4.6778E-02
2.7040E-03	-1.2685E-01	4.6564E-02
2.7290E-03	-1.2627E-01	4.6351E-02
2.7542E-03	-1.2569E-01	4.6138E-02
2.7797E-03	-1.2512E-01	4.5927E-02
2.8054E-03	-1.2454E-01	4.5716E-02
2.8314E-03	-1.2397E-01	4.5507E-02
2.8576E-03	-1.2340E-01	4.5298E-02
2.8840E-03	-1.2284E-01	4.5090E-02
2.9107E-03	-1.2228E-01	4.4884E-02
2.9376E-03	-1.2171E-01	4.4678E-02
2.9648E-03	-1.2116E-01	4.4473E-02
2.9923E-03	-1.2060E-01	4.4269E-02
3.0200E-03	-1.2005E-01	4.4066E-02
3.0479E-03	-1.1950E-01	4.3864E-02
3.0761E-03	-1.1895E-01	4.3663E-02
3.1046E-03	-1.1840E-01	4.3462E-02
3.1333E-03	-1.1786E-01	4.3263E-02
3.1623E-03	-1.1732E-01	4.3064E-02
3.1915E-03	-1.1678E-01	4.2867E-02
3.2211E-03	-1.1624E-01	4.2670E-02
3.2509E-03	-1.1571E-01	4.2474E-02
3.2810E-03	-1.1518E-01	4.2279E-02
3.3113E-03	-1.1465E-01	4.2085E-02
3.3420E-03	-1.1412E-01	4.1892E-02
3.3729E-03	-1.1360E-01	4.1699E-02
3.4041E-03	-1.1308E-01	4.1508E-02
3.4356E-03	-1.1256E-01	4.1317E-02
3.4674E-03	-1.1204E-01	4.1127E-02
