x	s-sbar	delta
7.1121E-04	-4.3649E-02	8.0159E-02
7.1779E-04	-4.3471E-02	7.9827E-02
7.2444E-04	-4.3294E-02	7.9497E-02
7.3114E-04	-4.3117E-02	7.9168E-02
7.3790E-04	-4.2942E-02	7.8840E-02
7.4473E-04	-4.2767E-02	7.8514E-02
7.5162E-04	-4.2592E-02	7.8189E-02
7.5858E-04	-4.2419E-02	7.7866E-02
7.6560E-04	-4.2246E-02	7.7544E-02
7.7268E-04	-4.2074E-02	7.7223E-02
7.7983E-04	-4.1902E-02	7.6903E-02
7.8705E-04	-4.1731E-02	7.6585E-02
7.9433E-04	-4.1561E-02	7.6269E-02
8.0168E-04	-4.1392E-02	7.5953E-02
8.0910E-04	-4.1223E-02	7.5639E-02
8.1658E-04	-4.1055E-02	7.5326E-02
8.2414E-04	-4.0888E-02	7.5015E-02
8.3176E-04	-4.0721E-02	7.4705E-02
8.3946E-04	-4.0555E-02	7.4396E-02
8.4723E-04	-4.0390E-02	7.4088E-02
8.5507E-04	-4.0225E-02	7.3782E-02
8.6298E-04	-4.0062E-02	7.3477E-02
8.7096E-04	-3.9898E-02	7.3173E-02
8.7902E-04	-3.9736E-02	7.2871E-02
8.8716E-04	-3.9574E-02	7.2569E-02
8.9536E-04	-3.9413E-02	7.2269E-02
9.0365E-04	-3.9252E-02	7.1971E-02
9.1201E-04	-3.9092E-02	7.1673E-02
9.2045E-04	-3.8933E-02	7.1377E-02
9.2897E-04	-3.8774E-02	7.1082E-02
9.3756E-04	-3.8616E-02	7.0788E-02
9.4624E-04	-3.8459E-02	7.0496E-02
9.5499E-04	-3.8302E-02	7.0205E-02
9.6383E-04	-3.8146E-02	6.9914E-02
9.7275E-04	-3.7991E-02	6.9626E-02
9.8175E-04	-3.7836E-02	6.9338E-02
9.9083E-04	-3.7682E-02	6.9052E-02
1.0000E-03	-3.7528E-02	6.8766E-02
1.0093E-03	-3.7375E-02	6.8482E-02
1.0186E-03	-3.7223E-02	6.8199E-02
1.0280E-03	-3.7071E-02	6.7918E-02
1.0375E-03	-3.6920E-02	6.7637E-02
1.0471E-03	-3.6770E-02	6.7358E-02
1.0568E-03	-3.6620E-02	6.7080E-02
1.0666E-03	-3.6471E-02	6.6803E-02
1.0765E-03	-3.6323E-02	6.6527E-02
1.0864E-03	-3.6175E-02	6.6252E-02
1.0965E-03	-3.6027E-02	6.5979E-02
1.1066E-03	-3.5880E-02	6.5706E-02
1.1169E-03	-3.5734E-02	6.5435E-02
1.1272E-03	-3.5589E-02	6.5165E-02
1.1376E-03	-3.5444E-02	6.4896E-02
1.1482E-03	-3.5299E-02	6.4628E-02
1.1588E-03	-3.5156E-02	6.4361E-02
