Q2	Fs	dFs
3.4300E+00	7.0850E-05	2.5404E-04
3.4400E+00	7.0468E-05	2.5316E-04
3.4500E+00	7.0089E-05	2.5228E-04
3.4600E+00	6.9713E-05	2.5141E-04
3.4700E+00	6.9338E-05	2.5054E-04
3.4800E+00	6.8966E-05	2.4967E-04
3.4900E+00	6.8597E-05	2.4881E-04
3.5000E+00	6.8230E-05	2.4795E-04
3.5100E+00	6.7866E-05	2.4710E-04
3.5200E+00	6.7503E-05	2.4624E-04
3.5300E+00	6.7144E-05	2.4539E-04
3.5400E+00	6.6786E-05	2.4455E-04
3.5500E+00	6.6431E-05	2.4371E-04
3.5600E+00	6.6078E-05	2.4287E-04
3.5700E+00	6.5728E-05	2.4203E-04
3.5800E+00	6.5379E-05	2.4120E-04
3.5900E+00	6.5033E-05	2.4037E-04
3.6000E+00	6.4690E-05	2.3954E-04
3.6100E+00	6.4348E-05	2.3872E-04
3.6200E+00	6.4009E-05	2.3790E-04
3.6300E+00	6.3672E-05	2.3708E-04
3.6400E+00	6.3337E-05	2.3627E-04
3.6500E+00	6.3004E-05	2.3546E-04
3.6600E+00	6.2673E-05	2.3465E-04
3.6700E+00	6.2344E-05	2.3385E-04
3.6800E+00	6.2018E-05	2.3305E-04
3.6900E+00	6.1694E-05	2.3225E-04
3.7000E+00	6.1371E-05	2.3145E-04
3.7100E+00	6.1051E-05	2.3066E-04
3.7200E+00	6.0733E-05	2.2987E-04
3.7300E+00	6.0417E-05	2.2909E-04
3.7400E+00	6.0103E-05	2.2831E-04
3.7500E+00	5.9791E-05	2.2753E-04
3.7600E+00	5.9480E-05	2.2675E-04
3.7700E+00	5.9172E-05	2.2598E-04
3.7800E+00	5.8866E-05	2.2521E-04
3.7900E+00	5.8562E-05	2.2444E-04
3.8000E+00	5.8259E-05	2.2368E-04
3.8100E+00	5.7959E-05	2.2292E-04
3.8200E+00	5.7660E-05	2.2216E-04
3.8300E+00	5.7364E-05	2.2140E-04
3.8400E+00	5.7069E-05	2.2065E-04
3.8500E+00	5.6776E-05	2.1990E-04
3.8600E+00	5.6485E-05	2.1916E-04
3.8700E+00	5.6196E-05	2.1841E-04
3.8800E+00	5.5908E-05	2.1767E-04
3.8900E+00	5.5623E-05	2.1694E-04
3.9000E+00	5.5339E-05	2.1620E-04
3.9100E+00	5.5057E-05	2.1547E-04
3.9200E+00	5.4777E-05	2.1474E-04
3.9300E+00	5.4498E-05	2.1402E-04
3.9400E+00	5.4221E-05	2.1329E-04
3.9500E+00	5.3946E-05	2.1257E-04
3.9600E+00	5.3673E-05	2.1186E-04
3.9700E+00	5.3401E-05	2.1114E-04
3.9800E+00	5.3132E-05	2.1043E-04
3.9900E+00	5.2863E-05	2.0972E-04
4.0000E+00	5.2597E-05	2.0901E-04
4.0100E+00	5.2332E-05	2.0831E-04
4.0200E+00	5.2068E-05	2.0761E-04
4.0300E+00	5.1807E-05	2.0691E-04
4.0400E+00	5.1547E-05	2.0622E-04
4.0500E+00	5.1288E-05	2.0553E-04
4.0600E+00	5.1031E-05	2.0484E-04
4.0700E+00	5.0776E-05	2.0415E-04
4.0800E+00	5.0522E-05	2.0346E-04
4.0900E+00	5.0270E-05	2.0278E-04
4.1000E+00	5.0020E-05	2.0210E-04
4.1100E+00	4.9771E-05	2.0143E-04
4.1200E+00	4.9523E-05	2.0075E-04
4.1300E+00	4.9277E-05	2.0008E-04
4.1400E+00	4.9033E-05	1.9942E-04
4.1500E+00	4.8790E-05	1.9875E-04
4.1600E+00	4.8548E-05	1.9809E-04
4.1700E+00	4.8308E-05	1.9743E-04
4.1800E+00	4.8069E-05	1.9677E-04
4.1900E+00	4.7832E-05	1.9611E-04
4.2000E+00	4.7597E-05	1.9546E-04
4.2100E+00	4.7362E-05	1.9481E-04
4.2200E+00	4.7130E-05	1.9416E-04
4.2300E+00	4.6898E-05	1.9352E-04
4.2400E+00	4.6668E-05	1.9287E-04
4.2500E+00	4.6439E-05	1.9223E-04
4.2600E+00	4.6212E-05	1.9160E-04
4.2700E+00	4.5986E-05	1.9096E-04
4.2800E+00	4.5762E-05	1.9033E-04
4.2900E+00	4.5539E-05	1.8970E-04
4.3000E+00	4.5317E-05	1.8907E-04
4.3100E+00	4.5096E-05	1.8845E-04
4.3200E+00	4.4877E-05	1.8782E-04
4.3300E+00	4.4659E-05	1.8720E-04
4.3400E+00	4.4443E-05	1.8659E-04
4.3500E+00	4.4227E-05	1.8597E-04
4.3600E+00	4.4013E-05	1.8536E-04
4.3700E+00	4.3801E-05	1.8475E-04
4.3800E+00	4.3589E-05	1.8414E-04
4.3900E+00	4.3379E-05	1.8353E-04
4.4000E+00	4.3170E-05	1.8293E-04
4.4100E+00	4.2962E-05	1.8233E-04
4.4200E+00	4.2756E-05	1.8173E-04
4.4300E+00	4.2551E-05	1.8113E-04
4.4400E+00	4.2347E-05	1.8054E-04
4.4500E+00	4.2144E-05	1.7995E-04
4.4600E+00	4.1942E-05	1.7936E-04
4.4700E+00	4.1742E-05	1.7877E-04
4.4800E+00	4.1543E-05	1.7818E-04
4.4900E+00	4.1345E-05	1.7760E-04
4.5000E+00	4.1148E-05	1.7702E-04
4.5100E+00	4.0952E-05	1.7644E-04
4.5200E+00	4.0758E-05	1.7587E-04
4.5300E+00	4.0564E-05	1.7529E-04
4.5400E+00	4.0372E-05	1.7472E-04
4.5500E+00	4.0181E-05	1.7415E-04
