Q2	Fs	dFs
3.6100E+00	4.4712E-04	1.1277E-15
3.6200E+00	4.4446E-04	1.1211E-15
3.6300E+00	4.4182E-04	1.1144E-15
3.6400E+00	4.3919E-04	1.1079E-15
3.6500E+00	4.3658E-04	1.1014E-15
3.6600E+00	4.3399E-04	1.0950E-15
3.6700E+00	4.3141E-04	1.0886E-15
3.6800E+00	4.2885E-04	1.0822E-15
3.6900E+00	4.2631E-04	1.0759E-15
3.7000E+00	4.2378E-04	1.0696E-15
3.7100E+00	4.2127E-04	1.0632E-15
3.7200E+00	4.1877E-04	1.0570E-15
3.7300E+00	4.1629E-04	1.0509E-15
3.7400E+00	4.1382E-04	1.0447E-15
3.7500E+00	4.1137E-04	1.0386E-15
3.7600E+00	4.0894E-04	1.0325E-15
3.7700E+00	4.0652E-04	1.0265E-15
3.7800E+00	4.0411E-04	1.0205E-15
3.7900E+00	4.0172E-04	1.0146E-15
3.8000E+00	3.9935E-04	1.0087E-15
3.8100E+00	3.9699E-04	1.0028E-15
3.8200E+00	3.9464E-04	9.9692E-16
3.8300E+00	3.9231E-04	9.9112E-16
3.8400E+00	3.9000E-04	9.8538E-16
3.8500E+00	3.8770E-04	9.7962E-16
3.8600E+00	3.8541E-04	9.7390E-16
3.8700E+00	3.8314E-04	9.6824E-16
3.8800E+00	3.8088E-04	9.6262E-16
3.8900E+00	3.7863E-04	9.5702E-16
3.9000E+00	3.7640E-04	9.5145E-16
3.9100E+00	3.7419E-04	9.4593E-16
3.9200E+00	3.7199E-04	9.4045E-16
3.9300E+00	3.6980E-04	9.3493E-16
3.9400E+00	3.6762E-04	9.2957E-16
3.9500E+00	3.6546E-04	9.2415E-16
3.9600E+00	3.6332E-04	9.1879E-16
3.9700E+00	3.6118E-04	9.1348E-16
3.9800E+00	3.5906E-04	9.0822E-16
3.9900E+00	3.5695E-04	9.0293E-16
4.0000E+00	3.5486E-04	8.9772E-16
4.0100E+00	3.5278E-04	8.9253E-16
4.0200E+00	3.5071E-04	8.8734E-16
4.0300E+00	3.4865E-04	8.8221E-16
4.0400E+00	3.4661E-04	8.7711E-16
4.0500E+00	3.4458E-04	8.7205E-16
4.0600E+00	3.4256E-04	8.6704E-16
4.0700E+00	3.4056E-04	8.6201E-16
4.0800E+00	3.3857E-04	8.5703E-16
4.0900E+00	3.3659E-04	8.5211E-16
4.1000E+00	3.3462E-04	8.4718E-16
4.1100E+00	3.3267E-04	8.4228E-16
4.1200E+00	3.3073E-04	8.3748E-16
4.1300E+00	3.2879E-04	8.3263E-16
4.1400E+00	3.2688E-04	8.2786E-16
4.1500E+00	3.2497E-04	8.2306E-16
4.1600E+00	3.2308E-04	8.1837E-16
4.1700E+00	3.2119E-04	8.1365E-16
4.1800E+00	3.1932E-04	8.0896E-16
4.1900E+00	3.1746E-04	8.0434E-16
4.2000E+00	3.1561E-04	7.9972E-16
4.2100E+00	3.1378E-04	7.9515E-16
4.2200E+00	3.1195E-04	7.9058E-16
4.2300E+00	3.1014E-04	7.8605E-16
4.2400E+00	3.0834E-04	7.8155E-16
4.2500E+00	3.0655E-04	7.7706E-16
4.2600E+00	3.0477E-04	7.7259E-16
4.2700E+00	3.0300E-04	7.6820E-16
4.2800E+00	3.0124E-04	7.6382E-16
4.2900E+00	2.9949E-04	7.5943E-16
4.3000E+00	2.9776E-04	7.5511E-16
4.3100E+00	2.9603E-04	7.5082E-16
4.3200E+00	2.9432E-04	7.4652E-16
4.3300E+00	2.9262E-04	7.4225E-16
4.3400E+00	2.9092E-04	7.3803E-16
4.3500E+00	2.8924E-04	7.3383E-16
4.3600E+00	2.8757E-04	7.2963E-16
4.3700E+00	2.8591E-04	7.2545E-16
4.3800E+00	2.8425E-04	7.2132E-16
4.3900E+00	2.8261E-04	7.1724E-16
4.4000E+00	2.8098E-04	7.1316E-16
4.4100E+00	2.7936E-04	7.0910E-16
4.4200E+00	2.7775E-04	7.0507E-16
4.4300E+00	2.7615E-04	7.0108E-16
4.4400E+00	2.7456E-04	6.9706E-16
4.4500E+00	2.7298E-04	6.9311E-16
4.4600E+00	2.7141E-04	6.8920E-16
4.4700E+00	2.6985E-04	6.8527E-16
4.4800E+00	2.6829E-04	6.8140E-16
4.4900E+00	2.6675E-04	6.7755E-16
4.5000E+00	2.6522E-04	6.7372E-16
