Q2	Fs
4.7300E+00	3.3718E-05
4.7400E+00	3.3560E-05
4.7500E+00	3.3403E-05
4.7600E+00	3.3247E-05
4.7700E+00	3.3092E-05
4.7800E+00	3.2938E-05
4.7900E+00	3.2785E-05
4.8000E+00	3.2633E-05
4.8100E+00	3.2481E-05
4.8200E+00	3.2331E-05
4.8300E+00	3.2181E-05
4.8400E+00	3.2032E-05
4.8500E+00	3.1884E-05
4.8600E+00	3.1737E-05
4.8700E+00	3.1591E-05
4.8800E+00	3.1446E-05
4.8900E+00	3.1301E-05
4.9000E+00	3.1157E-05
4.9100E+00	3.1014E-05
4.9200E+00	3.0872E-05
4.9300E+00	3.0731E-05
4.9400E+00	3.0590E-05
4.9500E+00	3.0450E-05
4.9600E+00	3.0311E-05
4.9700E+00	3.0173E-05
4.9800E+00	3.0036E-05
4.9900E+00	2.9899E-05
5.0000E+00	2.9763E-05
5.0100E+00	2.9628E-05
5.0200E+00	2.9494E-05
5.0300E+00	2.9360E-05
5.0400E+00	2.9228E-05
5.0500E+00	2.9096E-05
5.0600E+00	2.8964E-05
5.0700E+00	2.8834E-05
5.0800E+00	2.8704E-05
5.0900E+00	2.8575E-05
5.1000E+00	2.8446E-05
5.1100E+00	2.8319E-05
5.1200E+00	2.8192E-05
5.1300E+00	2.8065E-05
5.1400E+00	2.7940E-05
5.1500E+00	2.7815E-05
5.1600E+00	2.7691E-05
5.1700E+00	2.7567E-05
5.1800E+00	2.7444E-05
5.1900E+00	2.7322E-05
5.2000E+00	2.7201E-05
5.2100E+00	2.7080E-05
5.2200E+00	2.6960E-05
5.2300E+00	2.6840E-05
5.2400E+00	2.6722E-05
5.2500E+00	2.6603E-05
5.2600E+00	2.6486E-05
5.2700E+00	2.6369E-05
5.2800E+00	2.6253E-05
5.2900E+00	2.6137E-05
5.3000E+00	2.6022E-05
5.3100E+00	2.5908E-05
5.3200E+00	2.5794E-05
5.3300E+00	2.5681E-05
5.3400E+00	2.5569E-05
5.3500E+00	2.5457E-05
5.3600E+00	2.5346E-05
5.3700E+00	2.5235E-05
5.3800E+00	2.5125E-05
5.3900E+00	2.5016E-05
5.4000E+00	2.4907E-05
5.4100E+00	2.4798E-05
5.4200E+00	2.4691E-05
5.4300E+00	2.4584E-05
5.4400E+00	2.4477E-05
5.4500E+00	2.4371E-05
5.4600E+00	2.4266E-05
5.4700E+00	2.4161E-05
5.4800E+00	2.4057E-05
5.4900E+00	2.3953E-05
5.5000E+00	2.3850E-05
5.5100E+00	2.3747E-05
