Q2	Fs	dFs
2.9500E+00	6.6722E-04	7.8304E-04
2.9600E+00	6.6410E-04	7.8119E-04
2.9700E+00	6.6099E-04	7.7933E-04
2.9800E+00	6.5790E-04	7.7748E-04
2.9900E+00	6.5483E-04	7.7563E-04
3.0000E+00	6.5177E-04	7.7377E-04
3.0100E+00	6.4873E-04	7.7192E-04
3.0200E+00	6.4571E-04	7.7007E-04
3.0300E+00	6.4270E-04	7.6822E-04
3.0400E+00	6.3971E-04	7.6637E-04
3.0500E+00	6.3674E-04	7.6453E-04
3.0600E+00	6.3378E-04	7.6268E-04
3.0700E+00	6.3084E-04	7.6083E-04
3.0800E+00	6.2791E-04	7.5899E-04
3.0900E+00	6.2500E-04	7.5715E-04
3.1000E+00	6.2210E-04	7.5531E-04
3.1100E+00	6.1922E-04	7.5347E-04
3.1200E+00	6.1636E-04	7.5163E-04
3.1300E+00	6.1351E-04	7.4979E-04
3.1400E+00	6.1068E-04	7.4796E-04
3.1500E+00	6.0786E-04	7.4613E-04
3.1600E+00	6.0506E-04	7.4430E-04
3.1700E+00	6.0227E-04	7.4247E-04
3.1800E+00	5.9950E-04	7.4064E-04
3.1900E+00	5.9674E-04	7.3881E-04
3.2000E+00	5.9400E-04	7.3699E-04
3.2100E+00	5.9127E-04	7.3517E-04
3.2200E+00	5.8855E-04	7.3335E-04
3.2300E+00	5.8586E-04	7.3153E-04
3.2400E+00	5.8317E-04	7.2972E-04
3.2500E+00	5.8050E-04	7.2790E-04
3.2600E+00	5.7785E-04	7.2609E-04
3.2700E+00	5.7521E-04	7.2429E-04
3.2800E+00	5.7258E-04	7.2248E-04
3.2900E+00	5.6997E-04	7.2068E-04
3.3000E+00	5.6737E-04	7.1887E-04
3.3100E+00	5.6478E-04	7.1708E-04
3.3200E+00	5.6221E-04	7.1528E-04
3.3300E+00	5.5966E-04	7.1349E-04
3.3400E+00	5.5711E-04	7.1169E-04
3.3500E+00	5.5458E-04	7.0991E-04
3.3600E+00	5.5207E-04	7.0812E-04
3.3700E+00	5.4956E-04	7.0634E-04
3.3800E+00	5.4708E-04	7.0456E-04
3.3900E+00	5.4460E-04	7.0278E-04
3.4000E+00	5.4214E-04	7.0100E-04
3.4100E+00	5.3969E-04	6.9923E-04
3.4200E+00	5.3725E-04	6.9746E-04
3.4300E+00	5.3483E-04	6.9569E-04
3.4400E+00	5.3242E-04	6.9393E-04
3.4500E+00	5.3002E-04	6.9217E-04
3.4600E+00	5.2764E-04	6.9041E-04
3.4700E+00	5.2527E-04	6.8866E-04
3.4800E+00	5.2291E-04	6.8690E-04
3.4900E+00	5.2056E-04	6.8516E-04
3.5000E+00	5.1823E-04	6.8341E-04
3.5100E+00	5.1591E-04	6.8167E-04
3.5200E+00	5.1360E-04	6.7993E-04
3.5300E+00	5.1130E-04	6.7819E-04
3.5400E+00	5.0902E-04	6.7646E-04
3.5500E+00	5.0674E-04	6.7473E-04
3.5600E+00	5.0448E-04	6.7300E-04
3.5700E+00	5.0224E-04	6.7128E-04
3.5800E+00	5.0000E-04	6.6956E-04
3.5900E+00	4.9778E-04	6.6784E-04
3.6000E+00	4.9556E-04	6.6612E-04
3.6100E+00	4.9336E-04	6.6441E-04
3.6200E+00	4.9117E-04	6.6271E-04
3.6300E+00	4.8900E-04	6.6100E-04
3.6400E+00	4.8683E-04	6.5930E-04
3.6500E+00	4.8468E-04	6.5760E-04
3.6600E+00	4.8253E-04	6.5591E-04
3.6700E+00	4.8040E-04	6.5422E-04
3.6800E+00	4.7828E-04	6.5253E-04
3.6900E+00	4.7617E-04	6.5085E-04
3.7000E+00	4.7407E-04	6.4917E-04
3.7100E+00	4.7199E-04	6.4749E-04
3.7200E+00	4.6991E-04	6.4582E-04
3.7300E+00	4.6785E-04	6.4415E-04
3.7400E+00	4.6579E-04	6.4248E-04
3.7500E+00	4.6375E-04	6.4082E-04
3.7600E+00	4.6172E-04	6.3916E-04
3.7700E+00	4.5970E-04	6.3750E-04
3.7800E+00	4.5769E-04	6.3585E-04
3.7900E+00	4.5568E-04	6.3420E-04
3.8000E+00	4.5370E-04	6.3255E-04
3.8100E+00	4.5172E-04	6.3091E-04
3.8200E+00	4.4975E-04	6.2927E-04
3.8300E+00	4.4779E-04	6.2764E-04
3.8400E+00	4.4584E-04	6.2601E-04
3.8500E+00	4.4390E-04	6.2438E-04
3.8600E+00	4.4197E-04	6.2276E-04
3.8700E+00	4.4006E-04	6.2114E-04
3.8800E+00	4.3815E-04	6.1952E-04
3.8900E+00	4.3625E-04	6.1791E-04
3.9000E+00	4.3436E-04	6.1630E-04
3.9100E+00	4.3248E-04	6.1469E-04
3.9200E+00	4.3061E-04	6.1309E-04
3.9300E+00	4.2876E-04	6.1149E-04
3.9400E+00	4.2691E-04	6.0990E-04
3.9500E+00	4.2507E-04	6.0831E-04
3.9600E+00	4.2324E-04	6.0672E-04
3.9700E+00	4.2142E-04	6.0514E-04
3.9800E+00	4.1961E-04	6.0356E-04
3.9900E+00	4.1781E-04	6.0198E-04
4.0000E+00	4.1601E-04	6.0041E-04
4.0100E+00	4.1423E-04	5.9884E-04
4.0200E+00	4.1246E-04	5.9728E-04
4.0300E+00	4.1069E-04	5.9572E-04
4.0400E+00	4.0894E-04	5.9416E-04
4.0500E+00	4.0719E-04	5.9261E-04
4.0600E+00	4.0545E-04	5.9106E-04
4.0700E+00	4.0373E-04	5.8951E-04
4.0800E+00	4.0201E-04	5.8797E-04
4.0900E+00	4.0030E-04	5.8643E-04
4.1000E+00	3.9860E-04	5.8490E-04
4.1100E+00	3.9690E-04	5.8337E-04
4.1200E+00	3.9522E-04	5.8184E-04
4.1300E+00	3.9354E-04	5.8031E-04
4.1400E+00	3.9188E-04	5.7880E-04
